is_superuser,is_staff,is_active,date_joined,user_id,username,email,password,permission,created_at,updated_at,del_flg,rank_id
f,f,t,2025-04-25 06:25:47.318218+00,9f594f0c-d379-40f6-ba0a-4b5749625935,user_ffc1fb0c_bjyr,user_ffc1fb0c_bjyr@example.com,1,2025-04-25 06:25:47.318435+00,2025-04-25 06:28:57.713779+00,f,1.0,
f,f,t,2025-04-02 01:29:47.270684+00,9f27d136-09de-407f-b405-7120b2d55daa,user_5f2710c2_qvlq,user_5f2710c2_qvlq@example.com,1,2025-04-02 01:29:47.270879+00,2025-05-15 05:45:17.124403+00,f,5.0,
f,f,t,2025-04-02 01:36:08.509761+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,user_3208e892_zohm,user_3208e892_zohm@example.com,1,2025-04-02 01:36:08.510093+00,2025-05-15 08:42:24.473769+00,f,2.0,
f,f,t,2025-04-02 01:29:36.727159+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5,user_79fa814e_nlqq,user_79fa814e_nlqq@example.com,1,2025-04-02 01:29:36.72737+00,2025-05-15 08:44:23.749666+00,f,3.0,
f,f,t,2025-04-02 01:36:23.861124+00,327e4006-267d-40b0-88bb-2c4e84cefcad,user_2a8826b0_oyam,user_2a8826b0_oyam@example.com,1,2025-04-02 01:36:23.86133+00,2025-05-15 09:50:04.917734+00,f,2.0,
f,f,t,2025-04-02 01:36:17.301304+00,522f3d6d-e633-426b-bf51-b50dee27ec96,user_7fb1da87_oixn,user_7fb1da87_oixn@example.com,1,2025-04-02 01:36:17.301506+00,2025-05-15 10:25:37.8566+00,f,4.0,
f,f,t,2025-04-24 03:00:37.785842+00,e82ad51b-9334-4e0a-a1cf-cb1d0a1ba9ea,user_0277469b_ldhg,user_0277469b_ldhg@example.com,1,2025-04-24 03:00:37.786148+00,2025-04-24 03:00:37.795036+00,f,,
f,f,t,2025-04-24 03:02:35.846524+00,7d5fd1e7-98d1-4194-ae96-2e9fe13899e9,user_20b806a7_vqqu,user_20b806a7_vqqu@example.com,1,2025-04-24 03:02:35.846741+00,2025-04-24 03:02:35.850919+00,f,,
f,f,t,2025-03-27 02:10:42.569165+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7,user_2c2b3940_lnqf,user_2c2b3940_lnqf@example.com,1,2025-03-27 02:10:42.569528+00,2025-04-03 10:23:33.784381+00,f,1.0,
f,f,t,2025-04-02 01:29:11.547404+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f,user_4b231c22_rxkn,user_4b231c22_rxkn@example.com,1,2025-04-02 01:29:11.547654+00,2025-05-13 08:32:30.102999+00,f,2.0,
f,f,t,2025-04-25 06:21:47.272028+00,c37ef629-95ba-4554-b131-de014b0956c4,user_440b93b3_jduu,user_440b93b3_jduu@example.com,1,2025-04-25 06:21:47.27232+00,2025-04-25 06:33:39.11465+00,f,7.0,
f,f,t,2025-04-02 01:29:43.164749+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9,user_91e866d2_lnwc,user_91e866d2_lnwc@example.com,1,2025-04-02 01:29:43.164979+00,2025-04-09 08:02:57.324574+00,f,1.0,
f,f,t,2025-04-24 03:25:28.412317+00,87cd03c7-2e34-4b90-acad-e61dc153a522,user_160c9d47_sqpr,user_160c9d47_sqpr@example.com,1,2025-04-24 03:25:28.412--Mo531+00,2025-04-24 03:25:28.417658+00,f,,
f,f,t,2025-03-31 12:06:25.877829+00,60fc5c6a-9824-46e9-8f5d-a9dd2b994dde,user_ab3e0cc2_dvwe,user_ab3e0cc2_dvwe@example.com,0,2025-03-31 12:06:25.8782--M12+00,2025-05-02 01:57:34.545698+00,f,1.0,
f,f,t,2025-05-01 04:16:07.555205+00,7f773f81-a082-48e8-b3a0-f78f2c5e0bce,user_c5781fb2_xtme,user_c5781fb2_xtme@example.com,1,2025-05-01 04:16:07.555--Mo465+00,2025-05-01 04:28:32.738389+00,f,2.0,
f,f,t,2025-04-24 08:23:28.395888+00,15121bed-729b-4625-90ca-33b2ce353ef4,user_d50ee568_zvyr,user_d50ee568_zvyr@example.com,1,2025-04-24 08:23:28.3961--M08+00,2025-04-24 08:23:28.400309+00,f,,
f,f,t,2025-05-02 04:06:00.264294+00,6a78fb78-70dc-45cf-a2a5-c9b8b8c91063,user_000d26b0_tnpa,user_000d26b0_tnpa@example.com,1,2025-05-02 04:06:00.2--More64526+00,2025-05-02 04:09:12.706479+00,f,2.0,
f,f,t,2025-04-16 07:19:08.362451+00,a6a79217-3f85-4e63-b0bf-da2b3eef2fe1,user_d8251c19_thdr,user_d8251c19_thdr@example.com,1,2025-04-16 07:19:08.362--Mo714+00,2025-04-16 07:19:08.374329+00,f,,
f,f,t,2025-05-02 01:54:39.463807+00,488c5963-9456-45f4-bc45-3d8118e79703,user_969212c4_bfti,user_969212c4_bfti@example.com,1,2025-05-02 01:54:39.464--Mo444+00,2025-05-02 06:26:00.395247+00,f,1.0,
f,f,t,2025-04-02 01:34:38.584527+00,6bdcd97d-6502-462a-84f1-b5d3afefa313,user_aa778d3b_zhbh,user_aa778d3b_zhbh@example.com,1,2025-04-02 01:34:38.584--Mo734+00,2025-05-12 08:46:13.114275+00,f,2.0,
f,f,t,2025-05-01 08:41:33.026439+00,a3d72066-11b2-4d49-bdeb-6a4fc033df61,user_e998c762_omhc,user_e998c762_omhc@example.com,1,2025-05-01 08:41:33.02--Mor7049+00,2025-05-01 08:50:17.808437+00,f,2.0,
f,f,t,2025-04-04 00:08:30.802357+00,8c011ea6-b400-49f2-9db5-2c8ed2b5c3d2,user_217fb22e_vmfs,user_217fb22e_vmfs@example.com,1,2025-04-04 00:08:30.802--Mo67+00,2025-04-08 00:15:33.955371+00,f,2.0,
f,f,t,2025-04-02 01:36:45.493609+00,604a9905-049d-4602-9495-86fa730795bf,user_dd49d844_hkpo,user_dd49d844_hkpo@example.com,1,2025-04-02 01:36:45.493--Mo814+00,2025-05-14 00:55:33.131732+00,f,2.0,
f,f,t,2025-05-01 08:41:19.21033+00,c01fdcec-4897-4e47-9d6d-eb2099c21db7,user_b492d27c_polf,user_b492d27c_polf@example.com,1,2025-05-01 08:41:19.210--Mo675+00,2025-05-01 08:52:03.144859+00,f,1.0,
f,f,t,2025-04-02 01:29:53.964408+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6,user_f580e521_nbgx,user_f580e521_nbgx@example.com,1,2025-04-02 01:29:53.964--Mo617+00,2025-05-12 09:00:15.603659+00,f,1.0,
f,f,t,2025-05-01 08:41:31.511182+00,c25b8ad6-d958-4009-bfb3-f2bcf3b13afc,user_8d6bef63_cwpp,user_8d6bef63_cwpp@example.com,1,2025-05-01 08:41:31.511--Mo407+00,2025-05-01 08:54:07.244686+00,f,1.0,
f,f,t,2025-05-01 09:41:31.986381+00,d4347a20-ea9c-432a-b15d-274cb1a7bdc5,user_5ed80ec5_jjtj,user_5ed80ec5_jjtj@example.com,1,2025-05-01 09:41:31.986--Mo653+00,2025-05-01 09:45:00.289075+00,f,5.0,
f,f,t,2025-03-31 12:19:33.889901+00,c546f210-dd7e-4396-a9d1-af22955e7a57,user_10b9da54_rolm,user_10b9da54_rolm@example.com,0,2025-03-31 12:19:33.8901--M28+00,2025-05-01 11:06:07.289775+00,f,3.0,
f,f,t,2025-04-24 03:16:49.221586+00,edad0f71-443d-4bfc-b366-c20a4a602029,user_053d558d_zbpb,user_053d558d_zbpb@example.com,1,2025-04-24 03:16:49.221--Mo841+00,2025-05-02 09:47:28.76491+00,f,3.0,
f,f,t,2025-04-22 10:15:07.267898+00,4bead440-ef99-437c-bb25-d2d290e6e753,user_192aacd2_vohe,user_192aacd2_vohe@example.com,1,2025-04-22 10:15:07.268--Mo146+00,2025-05-08 09:53:11.337018+00,f,4.0,
f,f,t,2025-04-02 01:29:58.468501+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,user_773b3b54_vziz,user_773b3b54_vziz@example.com,1,2025-04-02 01:29:58.468--Mo701+00,2025-05-13 04:03:23.439006+00,f,6.0,
f,f,t,2025-04-02 01:29:42.152599+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c,user_22875ef8_qzoz,user_22875ef8_qzoz@example.com,1,2025-04-02 01:29:42.152--Mo815+00,2025-05-13 05:27:20.177455+00,f,4.0,
f,f,t,2025-04-02 01:29:55.780966+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,user_3ea8e7ee_nbyg,user_3ea8e7ee_nbyg@example.com,1,2025-04-02 01:29:55.781--Mo187+00,2025-05-15 00:45:34.357531+00,f,3.0,
f,f,t,2025-04-02 01:36:24.512092+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3,user_0ed25939_uqnd,user_0ed25939_uqnd@example.com,1,2025-04-02 01:36:24.51--Mor23+00,2025-05-15 00:50:17.736081+00,f,4.0,
f,f,t,2025-04-02 01:36:26.540478+00,575e0431-1085-4d49-9191-86fd4695b554,user_92f0d7bb_upzx,user_92f0d7bb_upzx@example.com,1,2025-04-02 01:36:26.540--Mo682+00,2025-05-15 01:05:05.460274+00,f,1.0,
f,f,t,2025-04-02 01:29:21.869162+00,5f19c80d-8883-42f3-9257-f9f899f703d9,user_fc4fdd16_wxnc,user_fc4fdd16_wxnc@example.com,1,2025-04-02 01:29:21.869--Mo372+00,2025-05-15 02:13:51.692392+00,f,5.0,
